age_indicators,job_or_career,location_hints,relationship_status,personality_traits,emotional_needs,purchase_motivations,communication_style,life_events,fan_model_id,fan_id,Fan,job_career,PersonalityTraits,EmotionalNeeds,CommunicationStyle,PurchaseMotivations,Career,RelationshipStatus,JobOrCareer,LifeEvents,AgeIndicators,LocationHints
[35],['Finance'],"['Live in MT', 'from Chicago', 'used to live in Bellevue and Seattle']","['single', 'divorced']","['nostalgic', 'reflective', 'conflicted']","['companionship', 'reluctance to move for relationship']","['desire for interaction and connection', 'financial capability']","['humorous', 'candid', 'direct']",['divorce'],B.o.b_693154_Model3,,,,,,,,,,,,,
[],[],[],['has a girlfriend'],"['eager', 'exploratory']","['desire for secrecy', 'craving physical interaction']","['sexual fulfillment', 'audio calls']","['flirty', 'waiting for the right moment']",[],TO_888682_Model5,,,,,,,,,,,,,
[],['income tax returns'],[],"['caring', 'supportive']","['concerned', 'empathetic']","['emotional support', 'appreciation']","['connection', 'emotional support']","['compassionate', 'supportive']","[""mother's illness""]",fan_117936_Model21,,,,,,,,,,,,,
[],[],[],[],"['submissive', 'inexperienced']","['guidance', 'approval']",['making the other happy'],"['deferential', 'playful']",[],fan_120596_Model15,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_120596_Model17,,,,,,,,,,,,,
[23],['grocery store'],['from Texas'],[],"['complimentary', 'insecure about financial status']","['validation', 'connection']",['physical attraction'],"['flirty', 'complimentary']",[],fan_120596_Model2,,,,,,,,,,,,,
[],[],[],[],['insecure'],['validation'],['attraction'],[],[],fan_120596_Model21,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_120596_Model3,,,,,,,,,,,,,
[],[],['Norwegian language hints'],[],"['submissive', 'eager']","['approval', 'control']",['sexual satisfaction'],"['playful', 'submissive']",[],fan_120596_Model7,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_120596_Model9,,,,,,,,,,,,,
[],[],[],[],[],['need for validation'],"['attraction to cosplay', 'anime interest']",['friendly'],[],fan_123067_Model12,,,,,,,,,,,,,
[],[],['Philippines'],[],"['genuine', 'inquisitive']",['understanding'],['interest in foot content'],"['open', 'non-committal']",[],fan_134674_Model16,,,,,,,,,,,,,
[],[],[],[],['demanding'],['dominance'],[],['aggressive'],[],fan_153196_Model1,,,,,,,,,,,,,
[],[],[],[],['domineering'],['control'],[],['dominant'],[],fan_153196_Model10,,,,,,,,,,,,,
[],[],[],[],"['playful', 'teasing']",['company'],['sexual attraction'],"['friendly', 'flirty']",[],fan_162019_Model5,,,,,,,,,,,,,
[],[],[],[],['dominant'],['obedience'],[],['commanding'],[],fan_165617_Model3,,,,,,,,,,,,,
[],[],[],[],['obedient'],['approval'],[],['submissive'],[],fan_169038_Model11,,,,,,,,,,,,,
[],[],[],['fantasizing'],['imaginative'],['intimacy'],['sexual scenarios'],['expressive'],[],fan_169038_Model2,,,,,,,,,,,,,
[],[],[],[],['submissive'],['control'],[],['submissive'],[],fan_203942_Model21,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_204170_Model17,,,,,,,,,,,,,
"['Do you want to guess my age?', 'Woah im 185cm small']",,['Serbia'],,"['playful', 'flirty', 'confident']","['companionship', 'approval']","['content preview', 'financial limitations']","['direct', 'humorous']","[""brother's wedding"", 'economic protests']",fan_204170_Model9,,,,,,,,,,,,,
,['office worker'],,,"['adventurous', 'bold']","['excitement', 'validation']",['sexual attraction'],"['assertive', 'suggestive']",,fan_204278_Model11,,,,,,,,,,,,,
,,,,,,['physical attraction'],['concise'],,fan_206051_Model12,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_206051_Model14,,,,,,,,,,,,,
,,,,"['confident', 'bold']","['sexual fulfillment', 'gratuity']",,"['direct', 'explicit']",,fan_206051_Model8,,,,,,,,,,,,,
,,,,"['polite', 'complimentary']",['admiration'],['interest in content'],['respectful'],,fan_217442_Model15,,,,,,,,,,,,,
,,,,"['shy', 'admiring']",['validation'],['sexual attraction'],"['tentative', 'playful']",,fan_218602_Model9,,,,,,,,,,,,,
['Im a Student'],['student'],,,"['enthusiastic', 'resourceful']",['sexual exploration'],['financial limitations'],['apologetic'],,fan_225771_Model17,,,,,,,,,,,,,
,,,,,['curiosity'],,['minimal'],,fan_245274_Model9,,,,,,,,,,,,,
,,,,['consistent'],['routine'],,['concise'],,fan_258764_Model6,,,,,,,,,,,,,
,,,,['submissive'],['guidance'],['control'],['brief'],,fan_262036_Model10,,,,,,,,,,,,,
,,['Melbourne'],,['curious'],['challenge'],['sexual desire'],['provocative'],,fan_262036_Model11,,,,,,,,,,,,,
,,,,"['shy', 'eager']",['affection'],['sexual content'],['playful'],,fan_262036_Model12,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_262036_Model13,,,,,,,,,,,,,
,,,,"['adventurous', 'imaginative']",['excitement'],['sexual exploration'],['imaginative'],,fan_262036_Model15,,,,,,,,,,,,,
,,,,['submissive'],"['control', 'release']",['sexual exploration'],['dramatic'],,fan_262036_Model17,,,,,,,,,,,,,
,['landlord'],,,"['generous', 'witty']",['recognition'],['sexual attraction'],['sarcastic'],,fan_262036_Model18,,,,,,,,,,,,,
,,,,"['curious', 'passionate']",['intimacy'],['sexual attraction'],['detailed'],,fan_262036_Model2,,,,,,,,,,,,,
,['military background'],"['SW Missouri', 'Perth', 'Hobart Taz']",['has a girlfriend'],"['explorative', 'appreciative']",['sexual adventure'],['past experiences'],['expressive'],,fan_262036_Model20,,,,,,,,,,,,,
,,,,['adventurous'],['exploration'],['sexual content'],['graphic'],,fan_262036_Model21,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_262036_Model3,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_262036_Model4,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_262036_Model5,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_262036_Model7,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_262036_Model9,,,,,,,,,,,,,
[],[],[],[],['sensitive'],['comfort'],[],[],['recovering from a cold'],fan_262922_Model2,,,,,,,,,,,,,
[],[],[],[],"['curious', 'considerate']","['companionship', 'reassurance']",[],[],['recovering from illness'],fan_262922_Model8,,,,,,,,,,,,,
[],['gym enthusiast'],[],[],"['empathetic', 'supportive']","['intimacy', 'connection']",[],[],['recovering from surgery'],fan_283381_Model10,,,,,,,,,,,,,
[],[],['Washington'],[],[],[],[],[],[],fan_283381_Model11,,,,,,,,,,,,,
[],[],['UK'],[],['submissive'],"['validation', 'dominance']",['to please'],[],[],fan_283381_Model12,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_283381_Model14,,,,,,,,,,,,,
[],['oil and gas'],['Texas'],[],['pragmatic'],['financial control'],['prudent spending'],"['apologetic', 'transactional']",[],fan_283381_Model15,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_283381_Model17,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_283381_Model18,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_283381_Model19,,,,,,,,,,,,,
[],[],['Michigan'],['single'],[],[],[],['inquisitive'],[],fan_283381_Model2,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_283381_Model20,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_283381_Model21,,,,,,,,,,,,,
[],['home healthcare giver'],[],['not single'],['self-deprecating'],['empathy'],[],[],"['upcoming surgery', 'recovering from the flu']",fan_283381_Model22,,,,,,,,,,,,,
Not explicitly mentioned,Home Healthcare giver,Mentions going 'back there'; possibly linked to Dubai,Not single,"['Self-deprecating', 'Curious', 'Supportive']","['Feels inadequate', 'Needs validation', 'Going through a difficult time']","['Attracted to visual content', ""Likes 'nice shaven' content""]","['Casual', 'Humorous', 'Self-critical']","['Had a storm wreck yard', 'Car has a check engine light', 'Facing a third surgery in two months']",fan_283381_Model3,,,,,,,,,,,,,
,,,,"['submissive', 'insecure']",['validation'],,"['direct', 'sexual']",,fan_283381_Model4,1.0,,,,,,,,,,,,
,,,,['high sex drive'],['sexual fulfillment'],,"['explicit', 'sexual']",,fan_283381_Model5,2.0,,,,,,,,,,,,
,,,,"['considerate', 'honest']",['connection'],['evaluation of content value'],"['casual', 'considerate']",,fan_283381_Model6,3.0,,,,,,,,,,,,
,,,,['submissive'],"['validation', 'affection']",,"['playful', 'sexual']",,fan_283381_Model8,4.0,,,,,,,,,,,,
,,,,,,,,,fan_283381_Model9,5.0,,,,,,,,,,,,
,,,,['affectionate'],,,['affectionate'],,fan_290637_Model1,6.0,,,,,,,,,,,,
,,,,,,,,,fan_290637_Model17,7.0,,,,,,,,,,,,
,,,,['curious'],,,['playful'],,fan_301680_Model15,8.0,,,,,,,,,,,,
,,,,,['financial struggle'],['financial limitations'],"['apologetic', 'complimentary']",,fan_301680_Model6,9.0,,,,,,,,,,,,
['34'],,['France'],,"['curious', 'honest']",,['curiosity'],"['informal', 'inquiring']",,fan_315807_Model17,10.0,,,,,,,,,,,,
,,['Norway (Norwegian language)'],,['submissive'],['financial struggle'],['financial limitations'],['deferential'],,fan_320584_Model7,11.0,,,,,,,,,,,,
,,,,,,,['curious'],,fan_323720_Model11,12.0,,,,,,,,,,,,
,,,,,,,,,fan_323720_Model2,13.0,,,,,,,,,,,,
,,,,['sexual'],,['supportive'],['straightforward'],['moving'],fan_326779_Model15,14.0,,,,,,,,,,,,
,,,,['evaluative'],,['value assessment'],"['casual', 'demanding']",,fan_330775_Model9,15.0,,,,,,,,,,,,
['financially constrained'],,,,"['affectionate', 'supportive']","['affection', 'companionship']",['financial constraint'],"['affectionate', 'personal']",['financial difficulties'],fan_337913_Model3,16.0,,,,,,,,,,,,
,['student'],,,['apologetic'],['connection'],,"['apologetic', 'informal']",['busy with university'],fan_340509_Model11,17.0,,,,,,,,,,,,
,,,,['submissive'],,,"['playful', 'flirtatious']",,fan_354140_Model17,18.0,,,,,,,,,,,,
,['law enforcement or security (handcuffs)'],,,['dominant'],['control'],,"['playful', 'sexual']",,fan_355325_Model5,19.0,,,,,,,,,,,,
,,,,,['financial limitations'],['financial limitations'],"['direct', 'informative']",,fan_363004_Model10,20.0,,,,,,,,,,,,
,,,,"['direct', 'demanding']","['validation', 'engagement']",['physical attraction'],['assertive'],,fan_363004_Model2,,1.0,,,,,,,,,,,
,,,,['succinct'],,['curiosity'],['terse'],,fan_363318_Model9,,2.0,,,,,,,,,,,
,,,,['generous'],,['gratitude'],['monetary'],,fan_363993_Model7,,3.0,,,,,,,,,,,
,,['Oklahoma'],,"['persistent', 'curious']","['control', 'release']","['desire', 'curiosity']","['inquisitive', 'direct']",,fan_389488_Model11,,4.0,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_389488_Model2,,,,,,,,,,,,,
,,,,['agreeable'],,,['concise'],,fan_389488_Model8,,5.0,,,,,,,,,,,
,,,,['humorous'],,['curiosity'],['lighthearted'],,fan_389488_Model9,,6.0,,,,,,,,,,,
,,,,['devoted'],['submission'],['physical attraction'],['expressive'],,fan_398425_Model10,,7.0,,,,,,,,,,,
,,,,"['cheerful', 'flirtatious']",,['fantasy fulfillment'],['playful'],,fan_403211_Model12,,8.0,,,,,,,,,,,
,,,,['demanding'],['dominance'],['impulse'],['imperative'],,fan_403211_Model19,,9.0,,,,,,,,,,,
,,,,['curious'],['reassurance'],['curiosity'],['expressive'],,fan_403211_Model7,,10.0,,,,,,,,,,,
,,,,['affectionate'],['intimacy'],['sensuality'],"['sweet', 'assertive']",,fan_414828_Model11,,11.0,,,,,,,,,,,
,,,,['direct'],['engagement'],,['concise'],,fan_414828_Model2,,12.0,,,,,,,,,,,
,,,,['imaginative'],['role play'],['fantasy fulfillment'],['expressive'],['off work tomorrow'],fan_421775_Model14,,13.0,,,,,,,,,,,
,,,,['bold'],['desire'],['fantasy'],['assertive'],,fan_421775_Model18,,14.0,,,,,,,,,,,
,,,,['agreeable'],,,['polite'],,fan_421775_Model21,,15.0,,,,,,,,,,,
,,,,['humorous'],['engagement'],['desire'],['playful'],['financial limitation'],fan_425066_Model11,,16.0,,,,,,,,,,,
,,,,['considerate'],['financial limitation'],['curiosity'],['thoughtful'],['financial difficulty'],fan_437527_Model1,,17.0,,,,,,,,,,,
,,['US'],,['adaptable'],['curiosity'],['fantasy'],['flexible'],,fan_437527_Model10,,18.0,,,,,,,,,,,
,,['Australia'],,['flirtatious'],['validation'],['fantasy fulfillment'],['expressive'],,fan_437527_Model11,,19.0,,,,,,,,,,,
25,Finance,"LA, Cali, US",Possibly interested in multiple people,"['Curious', 'Secretive']","['Validation', 'Understanding']","['Curiosity', 'Aesthetic appreciation']","['Friendly', 'Inquisitive']","[""Discovered friend's OF"", 'College connection']",fan_437527_Model12,,,,,,,,,,,,,
,,,Single,"['Romantic', 'Sensual']","['Intimacy', 'Connection']",['Erotic fulfillment'],"['Direct', 'Expressive']",,fan_437527_Model13,,,,,,,,,,,,,
,,,,['Playful'],['Attention'],,['Friendly'],,fan_437527_Model15,,,,,,,,,,,,,
,,,Attracted to the host,['Honest'],['Affection'],['Sexual desire'],['Forthcoming'],,fan_437527_Model17,,,,,,,,,,,,,
,,,,['Enthusiastic'],['Validation'],['Visual pleasure'],['Direct'],,fan_437527_Model18,,,,,,,,,,,,,
,,,,['Giving'],['Mutual satisfaction'],['Sexual exploration'],['Gentle'],,fan_437527_Model19,,,,,,,,,,,,,
,,,Interested,"['Charismatic', 'Romantic']",['Passion'],['Curiosity'],['Playful'],,fan_437527_Model2,,,,,,,,,,,,,
,,Wisconsin,Single,['Generous'],['Affection'],"['Curiosity', 'Pleasure']",['Inquisite'],,fan_437527_Model20,,,,,,,,,,,,,
,,,,,['Erotic satisfaction'],['Sexual desire'],,,fan_437527_Model21,,,,,,,,,,,,,
Adult,,,Single,['Passionate'],['Emotional connection'],"['Curiosity', 'Support']",['Appreciative'],,fan_437527_Model3,,,,,,,,,,,,,
18,Construction,Canberra,Single,['Fun-loving'],['Adventure'],['Erotic fulfillment'],['Direct'],,fan_437527_Model4,,,,,,,,,,,,,
,,,Single,['Hopeful'],['Connection'],['Companionship'],['Brief'],,fan_437527_Model5,,,,,,,,,,,,,
,,,,['Submissive'],['Domination'],['Control'],['Bold'],,fan_437527_Model7,,,,,,,,,,,,,
,,,,['Confident'],['Erotic engagement'],['Sexual fulfillment'],['Brief'],,fan_437527_Model8,,,,,,,,,,,,,
22,Tattoo artist,UK,Interested,['Passionate'],['Intimacy'],['Connection'],['Persuasive'],,fan_437527_Model9,,,,,,,,,,,,,
,,,,['Submissive'],['Affection'],['Erotic content'],['Friendly'],,fan_453139_Model18,,,,,,,,,,,,,
,,,,,['Desire'],['Affection'],['Comforting'],,fan_461734_Model7,,,,,,,,,,,,,
,,,,,['Curiosity'],,,,fan_46752_Model15,,,,,,,,,,,,,
,,,,['Empathetic'],['Support'],,['Courteous'],['Death in family'],fan_468600_Model6,,,,,,,,,,,,,
,,,,,"dominance, validation",,"direct, assertive",,fan_484090_Model4,2.0,,,,,,,,,,,,
,,,,playful,,,imaginative,,fan_489339_Model17,3.0,,,,,,,,,,,,
,,,,"demanding, indulgent","control, reassurance","sexual gratification, exclusivity","persistent, negotiation",financial constraints,fan_489339_Model20,4.0,,,,,,,,,,,,
,,,,,affirmation,,"playful, flirtatious",,fan_489339_Model3,5.0,,,,,,,,,,,,
,,,,,validation,sexual curiosity,"indecisive, hesitant",,fan_497185_Model1,6.0,,,,,,,,,,,,
young adult,,,,,financial prudence,"budget constraints, future goals",,,fan_497185_Model12,7.0,,,,,,,,,,,,
,,Spanish-speaking country,single,,"connection, understanding",limited budget,"curious, open-ended",,fan_497185_Model21,8.0,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_497185_Model7,,,,,,,,,,,,,
,,,,casual,companionship,,relaxed,,fan_503066_Model17,9.0,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_50496_Model5,,,,,,,,,,,,,
,,based in USA,,,sexual expression,,"casual, relaxed",,fan_508175_Model1,10.0,,,,,,,,,,,,
,,,,,"intimacy, sexual exploration",sexual gratification,assertive,,fan_508175_Model10,11.0,,,,,,,,,,,,
,,,,,,,"formal, polite",,fan_508175_Model11,12.0,,,,,,,,,,,,
,,,,,encouragement,"exploration, curiosity","respectful, compliant",,fan_508175_Model14,13.0,,,,,,,,,,,,
,,,,,,,,account compromised,fan_508175_Model15,14.0,,,,,,,,,,,,
,,,,,closure,,,transitioning to sleep,fan_508175_Model16,15.0,,,,,,,,,,,,
adult,,,,,validation,,playful,,fan_508175_Model18,17.0,,,,,,,,,,,,
,,,,,sexual attraction,,"complimentary, straightforward",,fan_508175_Model19,18.0,,,,,,,,,,,,
['46? dayum'],[],[],[],"['curious', 'playful']",['admiration'],['interest in premium content'],"['playful', 'flirty']",[],fan_508175_Model21,,,,,,,,,,,,,
[],"['went to work today', 'just got in from work']",[],[],['flirty'],['physical attraction'],['fantasy fulfillment'],"['direct', 'flirty']",['long hard day at work'],fan_508175_Model3,,,,,,,,,,,,,
,,,,"['persistent', 'direct']",['validation'],['sexual content'],"['direct', 'assertive']",,fan_508175_Model4,,,,,,,,,,,,,
,,,,['musically inclined'],['connection'],['musical interests'],['concise'],,fan_508175_Model8,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_508175_Model9,,,,,,,,,,,,,
['43'],,"['North Carolina', 'Colorado']",,"['romantic', 'committed']","['affection', 'companionship']","['strong attraction', 'romantic interest']",['expressive'],"['plans to travel', 'overtime work']",fan_518942_Model4,,,['working with cables for handrails'],,,,,,,,,,
,,,,['interested in golf'],['privacy'],"['entertainment', 'personal attraction']",['detached'],['watching a golf tournament'],fan_522306_Model15,,,,,,,,,,,,,
,,,,['materialistic'],['visual satisfaction'],['visual attraction'],['transactional'],,fan_53650_Model3,,,,,,,,,,,,,
['23'],,,,['private'],['discretion'],['free content'],['brief'],['early riser'],fan_540415_Model2,,,['works with cars'],,,,,,,,,,
['25'],,,,['assertive'],['dominance'],['sexual interaction'],['demanding'],,fan_562138_Model3,,,,,,,,,,,,,
,,,,['comfort-seeking'],['financial conservation'],['financial constraints'],['reserved'],['recent move'],fan_573178_Model20,,,,,,,,,,,,,
,,,,"['creative', 'relaxed']",['mutual engagement'],['entertainment'],['playful'],"['Easter plans', 'day off']",fan_581879_Model11,,,,,,,,,,,,,
,,,,"['admiring', 'enthusiastic']",['intimacy'],"['sexual content', 'attraction']",['expressive'],,fan_586345_Model5,,,,,,,,,,,,,
,,,,['passionate'],['physical affection'],['sexual interaction'],['explicit'],,fan_590096_Model12,,,,,,,,,,,,,
,,,,['impatient'],['immediate satisfaction'],['sexual content'],['direct'],,fan_594435_Model8,,,,,,,,,,,,,
,,,,"['admiring', 'fascinated']",['admiration'],"['visual attraction', 'dominance']",['expressive'],,fan_603059_Model17,,,,,,,,,,,,,
,,,,['submissive'],"['dominance', 'validation']",['BDSM content'],['submissive'],,fan_609606_Model18,,,,,,,,,,,,,
,,,,['assertive'],['sexual fulfillment'],['physical attraction'],['direct'],,fan_628702_Model12,,,,,,,,,,,,,
,,,,['strategic'],['efficiency'],['value for money'],['analytical'],,fan_629017_Model3,,,,,,,,,,,,,
,,,,['expressive'],['admiration'],['sexual gratification'],['appreciative'],,fan_631691_Model16,,,,,,,,,,,,,
,,"['Montreal', 'Quebec City']",,"['emotional', 'romantic']","['love', 'affection']",['companionship'],['expressive'],"['financial hardship', 'buying a condo']",fan_631691_Model7,,,,,,,,,,,,,
[],[],"['Québec city', 'Montréal']","['Single', 'Infatuated']","['Emotional', 'Infatuated', 'Romantic']","['Affection', 'Validation', 'Connection']","['Emotional bond', 'Desire for intimacy', 'Financial constraints']","['Informal', 'Affectionate', 'Persistent']",['Son bought a condo near'],fan_632487_Model10,,,,,,,,,,,,,
,,,,"['dominant', 'assertive']",['physical intimacy'],,"['explicit', 'direct']",,fan_63765_Model17,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_667120_Model12,,,,,,,,,,,,,
,,,,"['submissive', 'eager']",['validation'],['excitement'],"['pleading', 'subordinate']",,fan_667120_Model17,,,,,,,,,,,,,
,,,,,,,['suggestive'],,fan_667120_Model19,,,,,,,,,,,,,
['older partner'],,,,"['dominant', 'assertive']",,,"['direct', 'commanding']",,fan_667120_Model3,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_667120_Model7,,,,,,,,,,,,,
,,,,,,,['brief'],,fan_667120_Model9,,,,,,,,,,,,,
[25],,"['Liverpool', 'UK']",,['flirty'],,['visual appeal'],['casual'],,fan_697133_Model15,,,,,,,,,,,,,
,,,,,,,['humorous'],,fan_705085_Model2,,,,,,,,,,,,,
,,,,,,,['brief'],,fan_705085_Model3,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_717155_Model10,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_717155_Model12,,,,,,,,,,,,,
,,['island'],,,,,['expressive'],,fan_717155_Model15,,,,,,,,,,,,,
,,,['attracted to trans and cis women'],"['supportive', 'expressive']","['connection', 'support']","['affection', 'loyalty']","['affectionate', 'supportive']",['broke'],fan_717155_Model16,,,,,,,,,,,,,
,,,,,,,['brief'],,fan_717155_Model17,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_717155_Model22,,,,,,,,,,,,,
,,,,['assertive'],,,['direct'],,fan_717155_Model4,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_717155_Model9,,,,,,,,,,,,,
,,,,['submissive'],,,['sensual'],,fan_727157_Model6,,,,,,,,,,,,,
,,,,['dominant'],,,['assertive'],,fan_738747_Model4,,,,,,,,,,,,,
,,,,,,,,,fan_752010_Model2,,2.0,,"['Affectionate', 'Eager']","['Validation', 'Attention']","['Emoji-heavy', 'Effusive']",,,,,,,
[],[],[],[],[],[],[],[],[],fan_752010_Model4,,,,,,,,,,,,,
,,,,,,,,,fan_752010_Model7,,3.0,,,['Financial support'],"['Direct', 'Flirty']",['Physical attraction'],,,,,,
,,,,,,,,,fan_780279_Model17,,4.0,,,['Affection'],"['Repetitive', 'Affectionate']",,['Working'],['Single'],,,,
,,,,,,,,,fan_789268_Model12,,5.0,,,['Dominance'],['Brief'],,,,,,,
[],[],[],[],[],[],[],[],[],fan_789268_Model9,,,,,,,,,,,,,
,,,,,,,,,fan_801131_Model3,,6.0,,,,,,,,,,,
,,,,,,,,,fan_80355_Model10,,7.0,,,,"['Impulsive', 'Humorous']",['Sexual content'],,,['In videoconferencing'],['Horny during videoconferencing'],,
,,,,,,,,,fan_817070_Model17,,8.0,,,,['Concise'],['Sexual gratification'],,,,,,
,,,,,,,,,fan_819196_Model11,,9.0,,,['Attention'],['Short'],['Emotional connection'],,,,,,
,,,,,,,,,fan_819196_Model2,,10.0,,,['Submissive experiences'],['Submissive'],,,,,,,
,,,,,,,,,fan_820213_Model18,,11.0,,,['Honesty'],['Tentative'],['Curiosity'],,,,,,
,,,,,,,,,fan_820213_Model21,,12.0,,,['Intimacy'],"['Descriptive', 'Polite']",['Art and aesthetics'],,,"['Artist', 'Commission work']",,['26'],['UK']
,,,,,,,,,fan_83847_Model12,,13.0,,,,['Romantic'],['Economic pragmatism'],,,,,,['Argentina']
,,,,,,,,,fan_851290_Model19,,14.0,,,,"['Casual', 'Direct']",,,,['Construction'],,['26'],['Texas']
,,,,,,,,,fan_851290_Model3,,15.0,,,['Connection'],"['Polite', 'Inquiring']",['Conversation'],,,,,,['Spain']
,,,,,,,,,fan_851290_Model4,,16.0,,,,"['Supportive', 'Inquisitive']",['Visual appeal'],,['Interested'],,,,
,,,,,,,,,fan_851290_Model7,,17.0,,,['Open-mindedness'],['Friendly'],,,,,,,
,,,,,,,,,fan_851817_Model11,,18.0,,,['Surrender'],['Accommodating'],,,,,,,
[],,[],[],"['complimentary', 'expressive']",['appreciation'],[],"['informal', 'warm']",[],fan_851817_Model7,,,[],,,,,,,,,,
[],,[],[],"['supportive', 'encouraging']",['connection'],[],"['direct', 'reassuring']",[],fan_867344_Model10,,,[],,,,,,,,,,
['reflecting on childhood'],,[],[],"['nostalgic', 'lighthearted']",['reflection'],[],['casual'],['financial struggles in childhood'],fan_867344_Model2,,,[],,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_871342_Model3,,,,,,,,,,,,,
['39y'],,['Finland'],['single'],"['passionate', 'empathetic']","['connection', 'intimacy']",['desire for companionship'],"['expressive', 'complimentary']",[],fan_871342_Model4,,,"['works with children', 'life coach']",,,,,,,,,,
[],,[],[],['submissive'],['dominance'],['fulfillment of submissive desires'],"['repetitive', 'deferential']",[],fan_874038_Model15,,,[],,,,,,,,,,
[],,[],[],['assertive'],['physical desire'],['exploration of fantasies'],"['forward', 'expressive']",[],fan_878910_Model12,,,[],,,,,,,,,,
[],,['Texas'],[],['easy-going'],[],[],['casual'],[],fan_879489_Model17,,,['works at Walmart'],,,,,,,,,,
[],,[],['married'],['newcomer'],[],[],['informal'],[],fan_885694_Model20,,,[],,,,,,,,,,
[],,[],[],['expressive'],['intimacy'],['sexual desire'],"['direct', 'emotional']",[],fan_915046_Model3,,,[],,,,,,,,,,
[],,[],[],['honest'],[],['curiosity'],['straightforward'],[],fan_929506_Model21,,,[],,,,,,,,,,
[],,[],[],['eager'],['connection'],['arousal'],['direct'],[],fan_933439_Model11,,,[],,,,,,,,,,
[],,[],[],['curious'],[],['convenience'],['direct'],[],fan_933439_Model17,,,[],,,,,,,,,,
[],[],[],[],[],[],[],[],[],fan_933439_Model19,,,,,,,,,,,,,
[],,[],[],['assertive'],['physical intimacy'],['sexual desire'],['direct'],[],fan_933439_Model2,,,[],,,,,,,,,,
[],,[],[],['brief'],[],[],['concise'],[],fan_933439_Model3,,,[],,,,,,,,,,
[],,[],[],['direct'],['visual desire'],['curiosity'],['concise'],[],fan_933439_Model8,,,[],,,,,,,,,,
[],,[],[],['cautious'],[],['sexual exploration'],['expressive'],[],fan_977469_Model22,,,[],,,,,,,,,,
[],,[],[],['suggestive'],['intimacy'],[],['expressive'],[],fan_98228_Model15,,,[],,,,,,,,,,
[],,[],[],['playful'],['adventure'],[],['enthusiastic'],[],neffy_335844_Model15,,,[],,,,,,,,,,
,Talk to people on the phone about supplying heating oil or propane for their houses,Connecticut,Married,"['Submissive', 'Love to please']","['Desire for validation', 'Attention', 'Affection']","['Sexual satisfaction', 'Feeling valued']","['Submissive', 'Accommodating', 'Flirtatious']",,neffy_335844_Model6,,,,,,,,,,,,,
